Date,Daily maximum UTCI,Daily minimum UTCI,Daily maximum T2M,Daily minimum T2M
2001-01-07,25.6845,3.3427,23.1288,9.3568
2001-01-08,29.5789,2.9381,24.4863,10.4878
2001-01-09,31.0822,7.5405,25.4202,11.3716
2001-01-10,27.8483,4.9474,24.3136,9.9125
2001-01-11,25.7787,3.8375,22.5899,8.6267
2001-01-12,26.2434,1.2869,23.3777,8.5407
2001-01-13,28.2192,1.4734,24.3285,9.2654
2001-01-14,27.7858,5.5533,24.7803,11.1082
2001-01-15,25.8161,4.2263,24.4180,9.8648
2001-01-16,28.7042,3.7472,24.8171,9.9912
2001-01-17,28.2882,2.9539,25.7659,10.0172
2001-01-18,27.5368,1.7095,25.0806,9.6982
2001-01-19,28.3211,2.5436,25.3179,9.7940
2001-01-20,29.4320,4.0688,26.5170,9.7701
2001-01-21,29.8475,5.4066,26.8256,10.8265
2001-01-22,32.7195,6.2182,28.2442,10.9977
2001-01-23,31.5243,9.3219,29.5843,13.9939
2001-01-24,26.9431,3.4992,25.5155,9.4387
2001-01-25,26.1559,1.8561,23.3120,8.6107
2001-01-26,26.8970,1.0443,24.1561,8.3844
2001-01-27,27.9165,1.6834,25.1568,8.7561
2001-01-28,28.4381,3.4031,25.5538,9.8025
2001-01-29,29.3983,3.4666,26.7343,10.1183
2001-01-30,31.6647,5.0380,28.3361,11.4840
2001-01-31,33.1344,8.8615,28.4028,15.2649
2001-02-01,33.9985,9.9353,30.7091,16.2874
2001-02-02,33.3751,11.2812,29.9795,17.0074
2001-02-03,30.4755,8.3182,27.3436,14.5147
2001-02-04,31.9823,7.8826,27.1685,14.4479
2001-02-05,33.5013,10.7282,28.1982,15.1414
2001-02-06,34.8033,10.0555,28.5871,15.0706
2001-02-07,29.7172,4.5914,26.8742,11.5465
2001-02-08,29.1640,4.9261,27.5564,11.5837
2001-02-09,29.0985,4.1386,26.7490,11.4522
2001-02-10,29.6922,3.7289,27.0446,11.4420
2001-02-11,31.9787,5.8610,28.1067,12.2719
2001-02-12,32.6837,7.2557,28.6455,13.4737
2001-02-13,31.6472,6.1752,28.3960,12.6446
2001-02-14,32.0201,5.2510,29.4807,12.9451
2001-02-15,34.3545,10.3336,29.9478,15.0561
2001-02-16,33.6836,9.6412,29.1591,14.6034
2001-02-17,36.0112,12.5776,30.7867,15.9281
2001-02-18,35.4829,16.2010,31.3748,17.7444
2001-02-19,36.5535,14.8017,31.6408,17.7133
2001-02-20,35.1653,16.3950,30.0446,19.1698
2001-02-21,34.2867,18.0276,28.8985,19.7503
2001-02-22,34.2924,15.9706,27.2602,17.6503
2001-02-23,34.0247,15.9368,29.3421,18.1331
2001-02-24,34.1835,16.5264,31.0899,20.3037
2001-02-25,35.6713,19.1102,31.2343,22.5824
2001-02-26,37.3109,20.7831,33.0629,22.2955
2001-02-27,35.0614,20.4925,29.8177,21.2496
2001-02-28,36.4751,21.9774,31.1571,21.5623
2001-03-01,37.5981,20.1833,29.5653,20.7297
2001-03-02,37.0391,17.5800,30.4570,20.8708
2001-03-03,34.8591,14.1901,30.6640,18.3004
2001-03-04,34.9162,13.9394,31.5146,17.8758
2001-03-05,34.1384,17.0485,28.7255,17.2638
2001-03-06,33.9899,13.6452,30.4947,17.1131
2001-03-07,34.5312,11.0656,31.1121,16.8932
2001-03-08,35.2104,14.0244,31.2606,17.1466
2001-03-09,36.8572,14.5806,30.9302,19.3040
2001-03-10,36.2149,13.1755,32.5205,16.9966
2001-03-11,36.2128,14.2654,32.2725,17.8003
2001-03-12,36.5748,13.4676,33.1004,18.3228
2001-03-13,37.6560,17.3763,32.4111,18.8264
2001-03-14,38.1296,20.8962,33.2247,22.0166
2001-03-15,38.1532,20.4379,33.9385,22.0289
2001-03-16,38.5421,20.0833,33.0633,21.7326
2001-03-17,39.4862,22.8606,33.3955,22.7305
2001-03-18,39.5432,20.9578,33.8904,20.9091
2001-03-19,38.8136,18.8984,35.0832,21.4578
2001-03-20,39.8477,18.7387,35.3002,22.4018
2001-03-21,41.0484,23.3476,35.0513,23.9624
2001-03-22,39.4254,22.7986,33.9464,21.8385
2001-03-23,37.8529,23.9124,30.1729,21.7321
2001-03-24,37.2372,22.8666,33.2262,23.3176
2001-03-25,36.9860,21.8391,33.3948,23.9106
2001-03-26,38.1407,22.0182,34.6121,23.9153
2001-03-27,38.0237,22.9672,34.5875,24.3188
2001-03-28,38.7399,24.5367,34.4482,25.3961
2001-03-29,38.3755,24.2222,33.7899,24.9497
2001-03-30,37.1501,24.1873,33.4391,22.9951
2001-03-31,37.1452,22.3685,31.6501,23.3451
2001-04-01,37.9284,22.6632,32.4212,23.6960
2001-04-02,38.6567,23.4964,31.4166,23.9417
2001-04-03,39.6637,24.0876,32.8365,24.1613
2001-04-04,39.8463,24.0648,34.1327,25.3136
2001-04-05,40.5467,24.4210,36.2371,25.7457
2001-04-06,41.9572,24.6449,35.9951,24.0119
2001-04-07,42.2735,26.0547,37.1753,24.5251
2001-04-08,40.4304,26.0293,36.2458,26.5661
2001-04-09,41.5147,25.9846,35.9089,26.6424
2001-04-10,41.9543,26.1244,36.4099,27.7140
2001-04-11,41.9008,26.4723,35.8582,27.5945
2001-04-12,41.4289,26.5572,34.0565,27.3625
2001-04-13,39.3889,21.0202,33.9483,23.0222
2001-04-14,34.7163,23.1978,30.4037,23.0122
2001-04-15,38.5314,24.6280,32.6883,23.8557
2001-04-16,40.6185,26.0539,33.6068,24.1650
2001-04-17,41.2533,22.9787,35.2394,22.4831
2001-04-18,38.4567,23.0594,30.4855,22.3973
2001-04-19,39.2525,23.8350,33.9963,23.4682
2001-04-20,39.8803,22.9284,36.4755,23.9132
2001-04-21,39.7131,21.2783,36.7135,24.1066
2001-04-22,39.5461,20.7971,37.0048,23.9132
2001-04-23,41.9252,21.3699,37.0459,24.5746
2001-04-24,42.4506,22.8943,37.3930,26.0948
2001-04-25,41.2480,22.8850,36.7552,26.2458
2001-04-26,40.0020,23.4790,34.8582,27.2203
2001-04-27,41.0520,24.3559,35.6125,28.0451
2001-04-28,42.0108,24.6047,37.2491,28.7008
2001-04-29,41.0219,26.2344,35.8169,28.2381
2001-04-30,39.8618,25.0078,34.3627,24.8078
2001-05-01,41.5038,28.7146,32.9389,26.8507
2001-05-02,41.0352,26.1205,34.7038,25.6950
2001-05-03,42.0829,28.1533,33.9389,26.9362
2001-05-04,41.0510,27.6930,34.6503,24.9261
2001-05-05,38.8283,23.2496,35.7055,24.9637
2001-05-06,37.8141,21.1089,31.4395,24.3368
2001-05-07,35.7408,22.2289,32.2761,24.4662
2001-05-08,39.8403,26.9325,34.9493,26.6922
2001-05-09,42.3097,27.5609,34.3200,27.4803
2001-05-10,41.7531,27.0279,35.1072,25.9287
2001-05-11,42.2059,19.3042,34.0937,23.5717
2001-05-12,35.5161,23.3607,31.5774,24.4179
2001-05-13,38.1306,24.4767,32.0043,24.6566
2001-05-14,38.8065,26.0161,33.6647,25.1177
2001-05-15,38.5197,27.0150,35.1844,25.9228
2001-05-16,38.2580,27.4544,33.2694,26.1233
2001-05-17,40.7822,27.9929,34.7715,26.3834
2001-05-18,41.6117,29.4215,32.8763,27.1013
2001-05-19,41.7218,30.1296,33.7179,27.1046
2001-05-20,40.4250,29.9915,35.4938,27.2354
2001-05-21,42.3635,26.9909,36.0210,26.2877
2001-05-22,42.8000,29.4161,34.8667,26.8634
2001-05-23,43.7058,31.0963,36.6282,28.6648
2001-05-24,44.6281,29.4129,36.7177,27.7490
